Balance Date,Dividend Type,Cent Per Share,Currency,Franked %,Dividend Ex Date,Books Close Date,Pay Date,Note
30/06/2024,Final,3.25,AUD,100,24/09/2024,25/09/2024,10/10/2024,--
30/06/2024,Interim,2.10,AUD,100,21/03/2024,22/03/2024,05/04/2024,--
30/06/2023,Final,2.27,AUD,100,21/09/2023,22/09/2023,09/10/2023,--
30/06/2023,Interim,0.35,AUD,100,22/03/2023,23/03/2023,06/04/2023,--
30/06/2021,Interim,2.40,AUD,100,24/03/2021,25/03/2021,09/04/2021,--
30/06/2020,Interim,2.40,AUD,100,18/03/2020,19/03/2020,01/05/2020,--
30/06/2019,Final,3.50,AUD,100,18/09/2019,19/09/2019,04/10/2019,--
30/06/2019,Interim,2.30,AUD,100,18/03/2019,19/03/2019,05/04/2019,--
30/06/2018,Final,3.80,AUD,100,19/09/2018,20/09/2018,05/10/2018,--
30/06/2018,Interim,2.30,AUD,100,16/03/2018,19/03/2018,04/04/2018,--
30/06/2017,Final,3.70,AUD,100,14/09/2017,15/09/2017,03/10/2017,--
30/06/2017,Interim,2.20,AUD,100,14/03/2017,15/03/2017,04/04/2017,--
30/06/2016,Final,3.50,AUD,100,15/09/2016,16/09/2016,04/10/2016,--
30/06/2016,Interim,2.00,AUD,100,15/03/2016,16/03/2016,01/04/2016,--
30/06/2015,Final,3.33,AUD,100,11/09/2015,15/09/2015,01/10/2015,--
30/06/2015,Interim,1.67,AUD,100,11/03/2015,13/03/2015,01/04/2015,--
